Motif Name,Motif Count,AUPR Difference,MS Difference
LHX8_HUMAN.H10MO.D,11108,0.000235945806783,-0.000332326
COE1_HUMAN.H10MO.A,21676,-0.000280103323005,-0.000238717
KLF8_HUMAN.H10MO.C,36030,-0.00128111973991,-0.000834614
PTF1A_HUMAN.H10MO.C,20460,-0.000602095841779,-0.000451237
STA5A_HUMAN.H10MO.B,6875,-4.81710590261e-06,1.43051e-05
FOS_HUMAN.H10MO.A,7113,-9.36832106383e-05,-0.000108808
ZSC16_HUMAN.H10MO.D,9975,-0.000111123705809,-0.000198632
TBX21_HUMAN.H10MO.D,14572,0.000186991518888,-0.000318795
GATA5_HUMAN.H10MO.D,14895,-0.000180270679741,-0.000384152
HES1_HUMAN.H10MO.D,40088,-0.000597220532441,-0.000517786
TFCP2_HUMAN.H10MO.D,23551,0.000425624951148,-0.000293195
TGIF1_HUMAN.H10MO.S,5907,-0.000269727230226,5.87106e-06
BACH1_HUMAN.H10MO.A,12932,-0.00032997387834,-0.000215739
GSX1_HUMAN.H10MO.D,19668,0.000592935734213,-0.000527322
TGIF1_HUMAN.H10MO.D,13551,-0.000224130600497,-0.000261843
SOX10_HUMAN.H10MO.D,16795,-2.15214562018e-05,-0.000158012
RARB_HUMAN.H10MO.D,16154,-0.000486491269522,-7.57873e-05
FOXC2_HUMAN.H10MO.D,11349,0.000295903408017,-0.000127494
NFAC4_HUMAN.H10MO.C,28910,-0.000796408071204,-0.0008834
TBX5_HUMAN.H10MO.D,12478,-0.000697336212764,-0.000324726
UNC4_HUMAN.H10MO.D,22961,0.000164445166992,-0.00056085
MAFG_HUMAN.H10MO.S,4903,-5.00977012696e-06,-0.000107795
DRGX_HUMAN.H10MO.D,19407,-0.000412608603888,-0.000496864
BHE41_HUMAN.H10MO.D,24833,3.23618871992e-05,-0.00052613
GLIS3_HUMAN.H10MO.D,71961,-0.000460864199032,-0.00105199
GBX2_HUMAN.H10MO.D,20135,0.000565876437309,-0.000509292
ELF3_HUMAN.H10MO.D,21532,-0.000446241473053,-0.00058651
TF2LX_HUMAN.H10MO.D,8610,0.000222979916602,-1.75834e-05
FOXD1_HUMAN.H10MO.D,14637,3.590146169e-05,-0.000345796
CREB1_HUMAN.H10MO.A,19037,4.94072442803e-05,-0.000402033
EVX2_HUMAN.H10MO.A,27805,0.000332874789382,-0.000626832
BSH_HUMAN.H10MO.D,20322,0.000291867051596,-0.000821829
ZIC3_HUMAN.H10MO.C,44087,-0.000679046239963,-0.000579
ISL2_HUMAN.H10MO.D,9596,-9.70124409944e-05,-0.000347167
ZIC2_HUMAN.H10MO.C,81161,-0.00102734990933,-0.00147948
EGR2_HUMAN.H10MO.C,63600,-0.000479590182706,-0.00161377
FOXQ1_HUMAN.H10MO.C,29363,-0.000194857585315,-0.00056386
ERR3_HUMAN.H10MO.B,6082,-8.76924151019e-05,-0.000105202
GMEB2_HUMAN.H10MO.D,14070,3.01669159598e-05,-0.000487208
JDP2_HUMAN.H10MO.D,16104,-0.000415049778454,-0.000364274
SMAD3_HUMAN.H10MO.C,14263,-0.000541280347098,9.20892e-06
ETV5_HUMAN.H10MO.D,16832,0.000306735654793,-0.000391334
NKX28_HUMAN.H10MO.C,6695,-0.000553525239337,-0.000160605
OLIG3_HUMAN.H10MO.D,16003,-0.000215504750956,-0.000298738
LMX1A_HUMAN.H10MO.D,40989,0.000791788492234,-0.000727296
HNF1A_HUMAN.H10MO.A,18323,-0.000369840665441,-0.000495702
NANOG_HUMAN.H10MO.S,17861,0.000189395771338,-0.000428319
